12,5/2/2021,122,0.26, ,0, ,677, ,9.6, ,80, ,53.6, ,68.2, ,68, ,26, ,41, ,43.4, ,6, ,143.9, ,67.6, 
12,5/3/2021,123,0.26, ,0, ,680, ,9.3, ,83.3, ,53.7, ,68.8, ,58, ,23, ,38, ,42.5, ,5.5, ,132.1, ,67.7, 
13,4/27/2021,117,0.21, ,0, ,565, ,7.8, ,74.2, ,38.4, ,58.7, ,80, ,33, ,46, ,38, ,5.4, ,129.2, ,53.9, 
13,4/28/2021,118,0.25, ,0, ,648, ,7.5, ,81.8, ,48.5, ,67.6, ,51, ,23, ,33, ,37.2, ,5.4, ,128.7, ,54.2, 
13,4/29/2021,119,0.26, ,0, ,632, ,10.1, ,91.4,Y,60.4,Y,73.7,Y,48, ,25, ,36,Y,44.7,Y,5, ,120.6, ,55, 
13,4/30/2021,120,0.24, ,0, ,548, ,11, ,83.5, ,65.2,Y,73.8,Y,56, ,22, ,39,Y,47,Y,5.1, ,122.6, ,56.1, 
13,5/1/2021,121,0.25, ,0, ,665, ,10.9, ,82.5, ,50.4, ,68.6, ,76, ,25, ,46, ,46.9, ,5.8, ,139.8, ,56.6, 
13,5/2/2021,122,0.26, ,0, ,665, ,11.8, ,84, ,54.2, ,69.3, ,73, ,30, ,48, ,48.9, ,6.5, ,156.4, ,57, 
13,5/3/2021,123,0.29, ,0, ,678, ,8.6, ,83.3, ,62.8,Y,73.2, ,43, ,22, ,31, ,40.6, ,7, ,167.5, ,57.2, 
15,4/27/2021,117,0.23, ,0, ,682,R,8.9, ,74.7, ,38.2, ,58.2, ,100, ,27, ,54, ,41.6, ,5.5, ,132.7, ,63.4, 
15,4/28/2021,118,0.25, ,0, ,697,R,8.6, ,83.1, ,43.7, ,64.5, ,100, ,18, ,41, ,40.6, ,4.4, ,106.7, ,63, 
15,4/29/2021,119,0.26, ,0, ,684,R,8.7, ,89.9, ,46.4, ,70.9, ,64, ,19, ,34, ,41, ,4.1, ,97.8, ,63.2, 
15,4/30/2021,120,0.29, ,0, ,668, ,10.2, ,92.8, ,53.4, ,74.6, ,72, ,19, ,35, ,45, ,5.6, ,135.5, ,63.8, 
15,5/1/2021,121,0.31, ,0, ,668, ,9.6, ,86.5, ,57.3, ,71.3, ,57, ,23, ,37, ,43.4, ,8.4, ,202, ,64.5, 
15,5/2/2021,122,0.29, ,0, ,678, ,9.4, ,83.2, ,46.1, ,67.2, ,93, ,20, ,41, ,42.9, ,8, ,192.2, ,64.6, 
15,5/3/2021,123,0.31, ,0, ,692,R,8.3, ,85.7, ,49.8, ,70, ,63, ,18, ,33, ,39.7, ,7.2, ,172.8, ,64.5, 
35,4/27/2021,117,0.19, ,0, ,594, ,4.2, ,59.8, ,31.6, ,49, ,73, ,23, ,35, ,22.8, ,5.9, ,141.4, ,57.4, 
